tablet_num	subject	relation_type	object	subject_tag	object_tag
P137373	ku3-{d}nanna	dumu	...	PN	PN
P137373	geme2-{d}utu	dumu	...	PN	PN
P137373	ur-dub-szen-na	dumu	...	PN	PN
P137373	1(disz)	dumu	x	NU	N
P137373	1(disz)	dumu	...	NU	PN
P137374	3(u)	dumu	1(disz)	NU	NU
P137374	3(disz)	dumu	1(disz)	NU	NU
P137378	dub-sar	dumu	lu2	N	N
P137380	dub-sar	dumu	en-he2-gal2	N	PN
P137382	nam-ha-ni	dumu	ARAD2-{d}nanna	N	PN
P137384	dub-sar	dumu	da-da	N	PN
P137388	{d}nanna	dumu	ur2-x-tur	DN	PN
P137391	sza3-gu4	dumu	ur-{d}ba-ba6	PN	PN
P137391	ur-mes	dumu	...	PN	PN
P137395	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137396	masz2	dumu	{gesz}gur8	N	N
P137396	udu	dam	ur-mes	N	PN
P137397	ama-tu-{d}nanna	dumu	ARAD2-{d}nanna	PN	PN
P137398	5(disz)	dumu	1(disz)	NU	NU
P137408	dub-sar	dumu	ge6-par4-ki-du10	N	PN
P137419	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137425	dub-sar	dumu	...	N	PN
P137430	a2-bi2-lum-ma	dumu	igi-an-na-ke4-zu	PN	PN
P137431	lu2-...	dumu	um-mi-a	PN	N
P137441	sa2-du11	e2-gi4-a	1(u)	N	NU
P137444	lu2-{d}nanna	dumu	ulu3-di	PN	PN
P137457	dub-sar	dumu	lu2-...	N	PN
P137461	u3	dumu	bi-ik-la-ak	CNJ	PN
P137464	didli	dumu	bad3-tibira{ki}	V	SN
P137475	kisal-luh	dumu	nin-ma2-a-x	N	PN
P137475	geme2-ki-siki-ka	dumu-munus	n	PN	NU
P137475	gi4-gi4	dumu-munus	n	V	NU
P137488	dub-sar	dumu	ur-nigar{gar}	N	PN
P137497	il-la	nin	iti	V	N
P137497	dub-sar	dumu	ur-{d}...	N	PN
P137507	dub-sar	dumu	er3-ra-ba-ni	N	PN
P137510	nam-ha-ni	dumu	ARAD2-{d}nanna	N	PN
P137512	dub-sar	dumu	ri-szi-in	N	PN
P137515	x	dumu	a-x	N	PN
P137520	al-la-sza-ru-um	dam	da-da	PN	PN
P137531	lugal-amar-ku3	dumu	ur-{d}szul-...	PN	PN
P137533	ta2-di3-ki-za	dam	da-a-a	PN	PN
P137543	szusz3	dumu	na-me	N	PN
P137547	ma-ru-ug5-tum	dumu	lugal	PN	N
P137559	dub-sar	dumu	ARAD2-mu	N	PN
P137560	dub-sar	dumu	ur-{d}ba-ba6	N	PN
P137561	i-te-el	dumu	sze-...	PN	MN
P137562	ur-{d}szul-pa-e3	dumu	nam-ha-ni	PN	N
P137567	...	ama	lugal	PN	N
P137572	ku3-{d}nanna	dumu	da-a-a	PN	PN
P137578	ur-gi7	dumu	...	PN	PN
P137579	mu	dumu-munus	lugal	N	N
P137579	lu2-{d}szul-gi	dumu	lugal-ur2-ra	PN	PN
P137580	i-di3-dingir	dumu	sze-em-zi-egir-ha	PN	PN
P137583	na-gada	dumu	szu-{d}nin-szubur	N	PN
